id;eventId;typeId;periodId;timeMin;timeSec;team_name;outcome;x;y;end_x;end_y;cross;ThrowIn;playerName;assist;keyPass;lb;shortName;shorter name;pro;x1_bin_xT;y1_bin_xT;x2_bin_xT;y2_bin_xT;start_zone_value_xT;end_zone_value_xT;xT
2847230497;48;Ball recovery;1;5;15;3kq9cckrnlogidldtdie2fkbl;Successful;116.28;21.6;0.0;0.0;0;0;F. Mastantuono;;;0;F. Mastantuono;FM;0.0;6.0;7.0;7.0;7.0;0.01473596;0.0174506;0.002714640000000001
2847230555;49;Post;1;5;16;3kq9cckrnlogidldtdie2fkbl;Successful;115.8;28.160000000000004;0.0;0.0;0;0;F. Mastantuono;;;0;F. Mastantuono;FM;0.0;8.0;7.0;7.0;7.0;0.02122129;0.0174506;-0.00377069
2847230639;38;Clearance;1;5;17;27xvwccz8kpmqsefjv2b2sc0o;Successful;4.56;37.6;32.04;31.84;0;0;L. Balerdi;;;0;L. Balerdi;LB;0.0;;;;;;;
2847230643;39;Pass;1;5;21;27xvwccz8kpmqsefjv2b2sc0o;Successful;36.239999999999995;28.8;31.799999999999997;14.4;0;0;M. O'Riley;;;0;M. O'Riley;MO;-7.334589818034118;3.0;2.0;2.0;1.0;0.01110462;0.00942382;-0.0016808000000000014
2847230673;40;Ball recovery;1;5;23;27xvwccz8kpmqsefjv2b2sc0o;Successful;37.8;18.240000000000002;0.0;0.0;0;0;B. Pavard;;;0;B. Pavard;BP;0.0;;;;;;;
2847230713;41;Pass;1;5;23;27xvwccz8kpmqsefjv2b2sc0o;Unsuccessful;37.8;18.240000000000002;86.88000000000001;59.760000000000005;0;0;B. Pavard;;;Long ball;B. Pavard;BP;0.0;;;;;;;
2847230783;50;Ball recovery;1;5;28;3kq9cckrnlogidldtdie2fkbl;Successful;28.2;18.56;0.0;0.0;0;0;Éder Militão;;;0;É. Militão;ÉM;0.0;10.0;7.0;10.0;5.0;0.03485072;0.05491138;0.02006066
2847230935;51;Pass;1;5;32;3kq9cckrnlogidldtdie2fkbl;Successful;31.32;28.400000000000002;30.72;55.28;0;0;Éder Militão;;;0;É. Militão;ÉM;-1.1426603932936956;3.0;2.0;2.0;5.0;0.01110462;0.01001304;-0.00109158
2847230971;52;Pass;1;5;36;3kq9cckrnlogidldtdie2fkbl;Successful;30.96;54.24;47.52;47.84;0;0;Dean Huijsen;;;0;D. Huijsen;DH;17.268714239769466;3.0;5.0;4.0;4.0;0.01110462;0.01262646;0.00152184
2847231003;53;Pass;1;5;38;3kq9cckrnlogidldtdie2fkbl;Successful;46.199999999999996;51.04;44.64;72.32000000000001;0;0;F. Valverde;;;0;F. Valverde;FV;-7.377056543844716;4.0;5.0;4.0;7.0;0.01269174;0.01126267;-0.0014290699999999993
2847231077;54;Pass;1;5;41;3kq9cckrnlogidldtdie2fkbl;Successful;53.879999999999995;72.0;58.8;77.28;0;0;A. Tchouaméni;;;0;A. Tchouaméni;AT;1.7959019066688313;5.0;7.0;5.0;7.0;0.01248344;0.01248344;0.0
2847231111;55;Pass;1;5;43;3kq9cckrnlogidldtdie2fkbl;Successful;51.6;72.0;49.199999999999996;64.88;0;0;Álvaro Carreras;;;0;Á. Carreras;ÁC;0.4709469095830059;5.0;7.0;4.0;6.0;0.01248344;0.01214719;-0.00033624999999999974
2847231157;56;Pass;1;5;45;3kq9cckrnlogidldtdie2fkbl;Successful;48.48;64.4;35.52;53.28;0;0;F. Valverde;;;0;F. Valverde;FV;-9.94976365270442;4.0;6.0;3.0;5.0;0.01214719;0.01110462;-0.0010425699999999996
2847231259;57;Pass;1;5;49;3kq9cckrnlogidldtdie2fkbl;Successful;38.04;51.44;32.76;31.92;0;0;Dean Huijsen;;;0;D. Huijsen;DH;-4.8588300626365;3.0;5.0;3.0;3.0;0.01110462;0.01132376;0.0002191399999999996
2847231285;58;Pass;1;5;52;3kq9cckrnlogidldtdie2fkbl;Successful;30.599999999999998;34.800000000000004;14.16;40.32;0;0;Éder Militão;;;0;É. Militão;ÉM;-16.289381018837503;3.0;3.0;1.0;4.0;0.01132376;0.01082722;-0.0004965400000000002
2847231311;59;Pass;1;5;53;3kq9cckrnlogidldtdie2fkbl;Successful;14.16;40.32;27.720000000000002;38.96000000000001;0;0;T. Courtois;;;0;T. Courtois;TC;13.554623509232712;1.0;4.0;2.0;3.0;0.01082722;0.01016549;-0.000661730000000001
2847231327;60;Pass;1;5;55;3kq9cckrnlogidldtdie2fkbl;Successful;27.720000000000002;38.96000000000001;9.839999999999998;39.44;0;0;A. Güler;;;0;A. Güler;AG;-17.87556313625582;2.0;3.0;0.0;3.0;0.01016549;0.00941056;-0.0007549299999999991
2847231439;61;Pass;1;6;0;3kq9cckrnlogidldtdie2fkbl;Successful;12.360000000000001;37.68;47.76;29.12;0;0;T. Courtois;;;0;T. Courtois;TC;34.61027973723466;1.0;3.0;4.0;2.0;0.01082722;0.01269174;0.0018645199999999997
2847231463;62;Pass;1;6;3;3kq9cckrnlogidldtdie2fkbl;Unsuccessful;47.279999999999994;29.04;57.0;26.64;0;0;F. Mastantuono;;;0;F. Mastantuono;FM;0.0;0.0;4.0;1.0;4.0;0.00941056;0.01082722;0.0014166600000000001
2847231445;42;Ball touch;1;6;3;27xvwccz8kpmqsefjv2b2sc0o;Successful;65.28;52.64;0.0;0.0;0;0;F. Medina;;;0;F. Medina;FM;0.0;;;;;;;
